measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M06,M06-trial03,3,M06-B010,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial04,4,M06-B011,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial03,3,M06-B012,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial03,3,M06-B013,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial02,2,M06-B014,normal_debate,Normal debate,0.9444444444444444,0.9310344827586207,0.0,0.0,0.0,9,29
M06,M06-trial01,1,M06-B015,independent_ensemble,Independent ensemble,0.9722222222222222,0.9655172413793104,0.0,0.0,0.0,9,29
M06,M06-trial02,2,M06-B016,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,29
M07,M07-trial01,1,M07-B001,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial04,4,M07-B002,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial03,3,M07-B003,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial04,4,M07-B004,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial02,2,M07-B005,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial02,2,M07-B006,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial01,1,M07-B007,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial01,1,M07-B008,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial02,2,M07-B009,normal_debate,Normal debate,0.96875,0.9545454545454546,0.0,0.0,0.0,8,22
M07,M07-trial04,4,M07-B010,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial03,3,M07-B011,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial03,3,M07-B012,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial04,4,M07-B013,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial03,3,M07-B014,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,8,22
M07,M07-trial02,2,M07-B015,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,8,22
